*おためしリスト
**かてごり1
!|ヘッダ行|ヘッダ行|へっだ行|Header|
|こんな|ふうに|なるんです|よ|
|2>>横のセルと|2>>結合（縦はむり）|
|4>>おおきいねぇ！|
|縦結合はむりだけど|それっ[hr]ぽくは|いちおう|で<br>き<br>る|
?|チェック|なしの|行も|できる|
?|4>>チェックなし行はカウント対象外です|
|今更|そんな情報が|なんだと|いうんだ！|
!|途中に|2>>ヘッダを[hr]挟むことも|できます|
|フライト！|
**かてごり2
|横長～|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|てすと|
**かてごり3
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
|てすと|
**からっぽ3
**カテゴリ4
!|てすと|
?|てすと|
